Weight, Velocity, Chord Length, Wing Span, Lift Coefficient, Drag Coefficient
6000, 100.0, 4.00, 20.0, 17.9767, 28.7124
6000, 100.0, 4.00, 25.0, 14.3813, 15.5636
6000, 100.0, 4.00, 30.0, 11.9844, 9.6170
6000, 100.0, 4.00, 35.0, 10.2724, 6.5104
6000, 100.0, 4.00, 40.0, 8.9883, 4.7126
6000, 100.0, 4.00, 45.0, 7.9896, 3.5893
6000, 100.0, 4.00, 50.0, 7.1907, 2.8443
6000, 100.0, 4.25, 20.0, 16.9192, 27.0234
6000, 100.0, 4.25, 25.0, 13.5354, 14.6481
6000, 100.0, 4.25, 30.0, 11.2795, 9.0513
6000, 100.0, 4.25, 35.0, 9.6681, 6.1275
6000, 100.0, 4.25, 40.0, 8.4596, 4.4354
6000, 100.0, 4.25, 45.0, 7.5197, 3.3781
6000, 100.0, 4.25, 50.0, 6.7677, 2.6770
6000, 100.0, 4.50, 20.0, 15.9793, 25.5221
6000, 100.0, 4.50, 25.0, 12.7834, 13.8343
6000, 100.0, 4.50, 30.0, 10.6528, 8.5485
6000, 100.0, 4.50, 35.0, 9.1310, 5.7871
6000, 100.0, 4.50, 40.0, 7.9896, 4.1890
6000, 100.0, 4.50, 45.0, 7.1019, 3.1905
6000, 100.0, 4.50, 50.0, 6.3917, 2.5283
6000, 100.0, 4.75, 20.0, 15.1382, 24.1789
6000, 100.0, 4.75, 25.0, 12.1106, 13.1062
6000, 100.0, 4.75, 30.0, 10.0922, 8.0986
6000, 100.0, 4.75, 35.0, 8.6504, 5.4825
6000, 100.0, 4.75, 40.0, 7.5691, 3.9685
6000, 100.0, 4.75, 45.0, 6.7281, 3.0225
6000, 100.0, 4.75, 50.0, 6.0553, 2.3952
6000, 100.0, 5.00, 20.0, 14.3813, 22.9699
6000, 100.0, 5.00, 25.0, 11.5051, 12.4509
6000, 100.0, 5.00, 30.0, 9.5876, 7.6936
6000, 100.0, 5.00, 35.0, 8.2179, 5.2084
6000, 100.0, 5.00, 40.0, 7.1907, 3.7701
6000, 100.0, 5.00, 45.0, 6.3917, 2.8714
6000, 100.0, 5.00, 50.0, 5.7525, 2.2754
6000, 100.0, 5.25, 20.0, 13.6965, 21.8761
